,0,0,0,0,1,1,1,1
190,0.037,-0.006,-0.006,-0.01,-0.002,-0.013,-0.021,-0.019
191,-0.188,-0.025,-0.017,-0.024,-0.027,-0.024,-0.034,-0.021
192,-0.29,-0.029,-0.027,-0.032,-0.025,-0.022,-0.025,-0.025
193,-0.153,-0.019,-0.017,-0.022,-0.017,-0.015,-0.02,-0.017
194,-0.207,-0.019,-0.016,-0.021,-0.092,-0.071,-0.079,-0.005
195,-0.126,-0.013,-0.027,-0.011,-0.11,-0.134,-0.131,-0.16
196,-0.089,-0.151,-0.148,-0.175,0.383,0.351,0.355,0.115
197,0.166,0.006,0.149,0.067,1.34,1.311,1.319,0.946
198,0.515,0.644,0.897,0.86,2.368,2.379,2.292,1.891
199,0.732,1.592,1.795,1.725,2.545,2.608,2.544,2.459
200,1.013,2.342,2.534,2.303,1.892,1.927,1.919,2.098
201,1.143,2.521,2.627,2.193,1.203,1.215,1.255,1.49
202,1.35,2.26,2.433,1.963,0.804,0.78,0.9,1.06
203,1.435,1.934,2.166,1.709,0.85,0.821,0.826,0.92
204,1.661,1.619,1.819,1.552,0.823,0.814,0.811,0.916
205,1.758,1.488,1.658,1.472,0.815,0.802,0.802,0.914
206,1.513,1.471,1.518,1.389,0.823,0.819,0.806,0.922
207,1.347,1.479,1.45,1.447,0.835,0.815,0.813,0.942
208,1.275,1.456,1.473,1.449,0.84,0.82,0.821,0.935
209,1.412,1.407,1.42,1.544,0.845,0.826,0.849,0.943
210,1.572,1.532,1.505,1.57,0.86,0.834,0.873,0.954
211,1.274,1.636,1.559,1.538,0.864,0.853,0.888,0.965
212,1.328,1.606,1.641,1.581,0.863,0.855,0.887,0.972
213,1.264,1.501,1.665,1.544,0.867,0.861,0.874,0.96
214,1.238,1.517,1.653,1.604,0.865,0.859,0.88,0.977
215,1.287,1.566,1.797,1.614,0.877,0.862,0.884,0.991
216,1.262,1.654,1.877,1.681,0.886,0.865,0.883,1.012
217,1.415,1.719,1.886,1.709,0.88,0.858,0.877,1.005
218,1.417,1.819,1.833,1.64,0.887,0.867,0.873,1.002
219,1.17,1.68,1.511,1.42,0.807,0.806,0.807,0.915
220,1.003,1.267,1.2,1.069,0.703,0.705,0.708,0.779
221,0.888,0.869,0.904,0.827,0.595,0.596,0.6,0.655
222,0.742,0.687,0.717,0.681,0.512,0.513,0.517,0.557
223,0.772,0.75,0.767,0.716,0.48,0.479,0.48,0.527
224,0.697,0.698,0.712,0.666,0.419,0.418,0.42,0.466
225,0.606,0.625,0.635,0.587,0.356,0.355,0.356,0.397
226,0.511,0.53,0.535,0.493,0.289,0.288,0.289,0.324
227,0.396,0.415,0.416,0.382,0.22,0.219,0.22,0.247
228,0.289,0.302,0.301,0.276,0.157,0.156,0.157,0.176
229,0.204,0.207,0.206,0.188,0.106,0.106,0.107,0.12
230,0.143,0.141,0.139,0.126,0.072,0.072,0.071,0.081
231,0.103,0.098,0.097,0.087,0.051,0.051,0.049,0.057
232,0.079,0.071,0.071,0.062,0.037,0.038,0.036,0.042
233,0.065,0.053,0.053,0.046,0.029,0.03,0.026,0.032
234,0.055,0.044,0.043,0.037,0.024,0.024,0.021,0.026
235,0.049,0.038,0.037,0.031,0.02,0.02,0.017,0.023
236,0.045,0.037,0.035,0.03,0.02,0.019,0.017,0.021
237,0.045,0.038,0.036,0.031,0.02,0.02,0.018,0.021
238,0.046,0.038,0.037,0.031,0.021,0.021,0.018,0.022
239,0.046,0.038,0.037,0.031,0.021,0.021,0.018,0.022
240,0.047,0.038,0.037,0.031,0.02,0.02,0.017,0.022
241,0.047,0.038,0.037,0.031,0.02,0.021,0.018,0.022
242,0.048,0.039,0.038,0.033,0.021,0.021,0.019,0.024
243,0.05,0.041,0.039,0.034,0.022,0.022,0.02,0.024
244,0.05,0.042,0.041,0.036,0.023,0.023,0.021,0.026
245,0.051,0.043,0.042,0.036,0.024,0.024,0.021,0.026
246,0.05,0.043,0.041,0.036,0.023,0.023,0.02,0.026
247,0.051,0.043,0.041,0.036,0.023,0.024,0.021,0.026
248,0.053,0.043,0.043,0.037,0.023,0.024,0.022,0.026
249,0.054,0.046,0.045,0.039,0.024,0.025,0.023,0.028
250,0.055,0.047,0.045,0.039,0.024,0.025,0.023,0.028
251,0.055,0.046,0.045,0.039,0.024,0.025,0.023,0.028
252,0.056,0.047,0.045,0.039,0.025,0.026,0.023,0.028
253,0.055,0.047,0.046,0.04,0.025,0.026,0.023,0.029
254,0.056,0.047,0.046,0.04,0.025,0.025,0.022,0.029
255,0.055,0.046,0.045,0.039,0.025,0.025,0.022,0.029
256,0.053,0.046,0.045,0.038,0.025,0.025,0.023,0.028
257,0.05,0.045,0.044,0.038,0.025,0.025,0.023,0.028
258,0.051,0.047,0.045,0.039,0.025,0.026,0.023,0.028
259,0.054,0.048,0.048,0.041,0.025,0.026,0.023,0.029
260,0.057,0.05,0.05,0.043,0.027,0.027,0.024,0.03
261,0.059,0.05,0.05,0.043,0.027,0.027,0.025,0.031
262,0.057,0.048,0.047,0.041,0.026,0.026,0.024,0.03
263,0.054,0.045,0.044,0.039,0.025,0.025,0.022,0.028
264,0.049,0.043,0.042,0.036,0.023,0.024,0.021,0.026
265,0.046,0.042,0.041,0.034,0.022,0.024,0.02,0.025
266,0.046,0.041,0.039,0.033,0.022,0.023,0.019,0.024
267,0.045,0.037,0.036,0.03,0.019,0.021,0.017,0.022
268,0.042,0.034,0.033,0.028,0.018,0.019,0.015,0.02
269,0.04,0.031,0.031,0.025,0.017,0.019,0.015,0.02
270,0.038,0.029,0.029,0.024,0.016,0.018,0.014,0.019
271,0.034,0.027,0.025,0.021,0.016,0.017,0.013,0.017
272,0.028,0.02,0.019,0.015,0.012,0.013,0.009,0.013
273,0.021,0.014,0.014,0.01,0.009,0.009,0.005,0.009
274,0.019,0.011,0.01,0.006,0.006,0.007,0.003,0.007
275,0.02,0.009,0.008,0.004,0.005,0.006,0.003,0.006
276,0.019,0.008,0.008,0.003,0.005,0.007,0.003,0.006
277,0.019,0.007,0.007,0.002,0.006,0.007,0.003,0.006
278,0.019,0.007,0.007,0.002,0.006,0.007,0.002,0.006
279,0.018,0.007,0.006,0.002,0.006,0.007,0.003,0.006
280,0.018,0.007,0.006,0.002,0.005,0.006,0.002,0.006
281,0.016,0.005,0.005,0.001,0.004,0.005,0.001,0.005
282,0.015,0.006,0.005,0.001,0.004,0.005,0.001,0.005
283,0.015,0.006,0.006,0.002,0.005,0.006,0.001,0.005
284,0.016,0.006,0.006,0.002,0.006,0.006,0.002,0.005
285,0.017,0.006,0.006,0.002,0.005,0.006,0.001,0.005
286,0.017,0.005,0.005,0.002,0.005,0.005,0.001,0.004
287,0.015,0.005,0.005,0.001,0.004,0.005,0.0,0.004
288,0.015,0.005,0.004,0.001,0.003,0.004,0.0,0.004
289,0.016,0.004,0.003,0.0,0.003,0.004,0.0,0.004
290,0.017,0.003,0.003,0.0,0.003,0.003,0.0,0.004
291,0.017,0.003,0.003,-0.001,0.003,0.003,-0.001,0.003
292,0.015,0.002,0.002,-0.002,0.002,0.003,-0.002,0.002
293,0.014,0.002,0.001,-0.002,0.002,0.002,-0.002,0.001
294,0.016,0.001,0.0,-0.004,0.001,0.001,-0.003,0.0
295,0.016,0.0,0.0,-0.004,0.001,0.001,-0.003,0.0
296,0.015,0.001,0.001,-0.002,0.002,0.003,-0.002,0.002
297,0.013,0.002,0.001,-0.002,0.003,0.003,-0.002,0.002
298,0.012,0.001,0.001,-0.002,0.002,0.002,-0.002,0.001
299,0.012,0.0,0.001,-0.003,0.0,0.002,-0.003,0.001
300,0.008,0.0,0.0,-0.005,0.0,0.001,-0.003,0.0
301,0.009,0.001,0.001,-0.004,0.0,0.001,-0.003,0.0
302,0.01,0.002,0.001,-0.003,0.001,0.002,-0.002,0.001
303,0.012,0.001,0.001,-0.003,0.001,0.002,-0.002,0.001
304,0.011,0.0,0.0,-0.004,-0.001,0.001,-0.002,0.0
305,0.01,0.0,-0.001,-0.004,-0.002,0.0,-0.004,-0.001
306,0.009,-0.001,-0.002,-0.005,-0.002,-0.001,-0.005,-0.002
307,0.009,0.0,-0.002,-0.004,-0.001,0.0,-0.004,-0.001
308,0.008,0.0,-0.001,-0.004,-0.001,0.001,-0.004,0.0
309,0.008,-0.001,-0.001,-0.004,-0.001,0.0,-0.004,-0.001
310,0.007,-0.001,-0.001,-0.004,-0.001,0.0,-0.004,-0.001
311,0.006,-0.002,-0.002,-0.005,-0.003,-0.001,-0.005,-0.003
312,0.008,-0.001,-0.001,-0.004,-0.001,0.0,-0.004,-0.001
313,0.009,0.0,-0.001,-0.004,-0.001,0.0,-0.003,-0.001
314,0.011,0.0,0.0,-0.003,-0.001,0.001,-0.004,0.0
315,0.011,0.0,-0.001,-0.004,-0.001,0.0,-0.005,0.0
316,0.013,0.0,0.0,-0.005,-0.001,0.0,-0.005,-0.001
317,0.014,0.001,0.001,-0.004,0.0,0.001,-0.004,0.0
318,0.012,0.0,0.0,-0.004,-0.001,0.001,-0.004,-0.001
319,0.01,-0.001,-0.001,-0.005,-0.001,0.0,-0.004,-0.001
320,0.008,-0.002,-0.003,-0.006,-0.003,-0.002,-0.006,-0.002
321,0.007,-0.001,-0.002,-0.006,-0.003,-0.002,-0.005,-0.002
322,0.008,0.0,-0.002,-0.005,-0.002,-0.001,-0.006,-0.002
323,0.008,-0.001,-0.002,-0.005,-0.003,-0.002,-0.006,-0.002
324,0.008,-0.002,-0.002,-0.005,-0.002,-0.002,-0.005,-0.003
325,0.008,-0.002,-0.002,-0.006,-0.003,-0.002,-0.006,-0.003
326,0.009,-0.002,-0.001,-0.006,-0.003,-0.002,-0.005,-0.002
327,0.01,-0.002,-0.002,-0.005,-0.003,-0.002,-0.005,-0.002
328,0.009,-0.003,-0.003,-0.006,-0.004,-0.003,-0.005,-0.003
329,0.006,-0.003,-0.004,-0.007,-0.004,-0.003,-0.006,-0.003
330,0.006,-0.003,-0.005,-0.007,-0.005,-0.004,-0.007,-0.004
331,0.007,-0.004,-0.005,-0.008,-0.005,-0.004,-0.008,-0.004
332,0.008,-0.004,-0.004,-0.007,-0.004,-0.003,-0.007,-0.004
333,0.009,-0.002,-0.002,-0.005,-0.003,-0.001,-0.005,-0.002
334,0.009,0.0,-0.001,-0.004,-0.002,0.0,-0.004,-0.001
335,0.009,-0.001,-0.002,-0.005,-0.003,-0.001,-0.005,-0.002
336,0.008,-0.003,-0.004,-0.007,-0.005,-0.003,-0.007,-0.004
337,0.007,-0.005,-0.005,-0.009,-0.006,-0.005,-0.008,-0.006
338,0.007,-0.005,-0.005,-0.009,-0.006,-0.005,-0.008,-0.006
339,0.005,-0.005,-0.005,-0.008,-0.007,-0.006,-0.008,-0.007
340,0.005,-0.003,-0.005,-0.007,-0.006,-0.005,-0.007,-0.006
341,0.005,-0.004,-0.005,-0.007,-0.007,-0.005,-0.007,-0.006
342,0.007,-0.004,-0.005,-0.008,-0.006,-0.005,-0.008,-0.005
343,0.008,-0.003,-0.004,-0.007,-0.005,-0.004,-0.007,-0.004
344,0.008,-0.002,-0.002,-0.006,-0.003,-0.002,-0.005,-0.003
345,0.008,0.0,-0.001,-0.004,-0.002,0.0,-0.004,-0.001
346,0.005,-0.002,-0.003,-0.006,-0.003,-0.001,-0.005,-0.002
347,0.006,-0.004,-0.003,-0.007,-0.004,-0.003,-0.006,-0.003
348,0.007,-0.003,-0.002,-0.006,-0.003,-0.002,-0.006,-0.004
349,0.007,-0.001,-0.002,-0.005,-0.003,-0.002,-0.006,-0.003
350,0.006,0.0,-0.002,-0.004,-0.002,-0.002,-0.005,-0.003
351,0.003,-0.001,-0.001,-0.004,-0.002,-0.001,-0.004,-0.002
352,0.005,-0.001,-0.001,-0.004,-0.002,-0.001,-0.004,-0.001
353,0.006,-0.001,-0.001,-0.003,-0.002,-0.002,-0.005,-0.002
354,0.006,-0.002,-0.002,-0.005,-0.003,-0.002,-0.006,-0.003
355,0.003,-0.004,-0.005,-0.007,-0.005,-0.004,-0.007,-0.006
356,0.004,-0.004,-0.005,-0.007,-0.005,-0.003,-0.007,-0.006
357,0.008,-0.002,-0.003,-0.006,-0.003,-0.002,-0.006,-0.003
358,0.01,-0.001,-0.001,-0.004,-0.001,0.0,-0.004,-0.002
359,0.009,-0.002,-0.001,-0.004,-0.001,0.0,-0.004,-0.001
360,0.006,-0.003,-0.003,-0.006,-0.003,-0.002,-0.006,-0.002
361,0.005,-0.004,-0.003,-0.007,-0.004,-0.003,-0.006,-0.004
362,0.005,-0.004,-0.003,-0.007,-0.003,-0.002,-0.006,-0.004
363,0.006,-0.005,-0.005,-0.008,-0.004,-0.003,-0.007,-0.005
364,0.005,-0.005,-0.006,-0.008,-0.005,-0.004,-0.008,-0.006
365,0.006,-0.003,-0.004,-0.007,-0.004,-0.003,-0.006,-0.004
366,0.008,-0.001,-0.001,-0.004,-0.002,-0.001,-0.004,-0.001
367,0.009,0.001,0.001,-0.001,0.0,0.001,-0.003,0.001
368,0.008,0.001,0.0,-0.002,0.0,0.001,-0.003,0.001
369,0.007,0.0,-0.001,-0.003,-0.001,0.0,-0.004,-0.001
370,0.008,-0.001,-0.002,-0.004,-0.002,-0.001,-0.004,-0.002
371,0.01,0.0,-0.001,-0.003,-0.001,0.0,-0.003,-0.001
372,0.009,0.0,0.0,-0.003,-0.002,0.001,-0.003,-0.001
373,0.009,0.0,0.001,-0.003,-0.002,0.002,-0.002,-0.001
374,0.008,0.0,0.001,-0.003,-0.001,0.002,-0.003,-0.001
375,0.007,0.0,0.0,-0.004,-0.001,0.0,-0.003,0.0
376,0.009,0.001,0.0,-0.004,0.0,0.0,-0.003,0.0
377,0.012,0.001,0.0,-0.004,-0.001,0.0,-0.003,0.0
378,0.011,0.001,0.0,-0.004,-0.001,0.0,-0.003,0.0
379,0.011,0.001,0.0,-0.003,0.0,0.0,-0.003,0.0
380,0.008,0.001,0.001,-0.002,0.0,0.001,-0.001,0.001
381,0.008,0.001,0.001,-0.002,0.0,0.001,-0.001,0.0
382,0.008,0.001,0.0,-0.003,-0.001,0.0,-0.001,0.0
383,0.004,-0.001,-0.002,-0.004,-0.002,-0.001,-0.004,-0.002
384,0.003,-0.001,-0.002,-0.005,-0.003,-0.001,-0.005,-0.002
385,0.003,0.0,-0.002,-0.003,-0.002,0.0,-0.004,0.0
386,0.006,0.001,-0.002,-0.002,-0.001,0.0,-0.004,0.0
387,0.006,0.001,-0.002,-0.003,-0.001,0.0,-0.004,-0.001
388,0.006,-0.001,-0.002,-0.004,-0.001,-0.001,-0.004,-0.002
389,0.006,-0.001,-0.001,-0.004,-0.002,-0.001,-0.004,-0.002
390,0.006,-0.001,0.0,-0.003,-0.001,0.0,-0.003,0.0
391,0.007,0.0,0.001,-0.002,0.0,0.001,-0.003,0.0
392,0.005,0.001,0.0,-0.002,0.0,0.001,-0.003,0.0
393,0.005,0.0,-0.001,-0.003,-0.001,0.0,-0.003,-0.001
394,0.006,-0.001,-0.003,-0.004,-0.003,-0.002,-0.005,-0.002
395,0.007,-0.001,-0.003,-0.005,-0.003,-0.002,-0.005,-0.002
396,0.011,-0.002,-0.003,-0.005,-0.003,-0.002,-0.005,-0.003
397,0.012,-0.001,-0.001,-0.004,-0.002,-0.001,-0.003,-0.001
398,0.011,0.001,0.0,-0.002,0.0,0.001,-0.002,0.001
399,0.008,0.0,-0.001,-0.003,0.0,0.001,-0.003,0.0
400,0.006,0.0,-0.001,-0.004,-0.001,0.0,-0.004,-0.001
401,0.006,-0.002,-0.002,-0.004,-0.002,-0.001,-0.005,-0.003
402,0.007,-0.002,-0.002,-0.005,-0.003,-0.002,-0.005,-0.003
403,0.009,-0.001,-0.001,-0.004,-0.002,-0.002,-0.004,-0.002
404,0.01,0.001,-0.001,-0.003,-0.001,0.0,-0.003,-0.001
405,0.011,0.002,0.001,-0.001,0.001,0.002,-0.001,0.002
406,0.01,0.002,0.002,0.0,0.001,0.002,0.0,0.002
407,0.01,0.002,0.001,-0.001,0.0,0.001,0.0,0.002
408,0.01,0.001,0.0,-0.002,0.0,0.001,0.0,0.001
409,0.011,0.002,0.0,-0.001,0.0,0.002,0.0,0.001
410,0.016,0.002,0.002,-0.001,0.001,0.003,0.0,0.002
411,0.018,0.003,0.004,0.0,0.003,0.004,0.001,0.004
412,0.019,0.004,0.004,0.0,0.003,0.004,0.0,0.003
413,0.017,0.003,0.003,-0.001,0.002,0.003,0.0,0.002
414,0.015,0.004,0.003,0.0,0.002,0.004,0.001,0.003
415,0.016,0.004,0.003,0.001,0.004,0.005,0.002,0.005
416,0.015,0.004,0.003,0.003,0.004,0.005,0.002,0.005
417,0.014,0.004,0.003,0.002,0.002,0.003,0.001,0.003
418,0.012,0.001,0.002,-0.001,0.0,0.001,-0.001,0.001
419,0.009,0.0,0.001,-0.002,-0.001,0.0,-0.003,-0.001
420,0.01,0.0,0.001,-0.002,-0.001,0.0,-0.002,-0.001
421,0.012,0.0,0.0,-0.002,-0.001,0.001,-0.002,-0.001
422,0.011,0.001,0.001,-0.001,0.0,0.002,-0.001,0.0
423,0.008,0.001,0.001,-0.001,0.0,0.001,-0.001,0.0
424,0.004,0.0,0.001,-0.002,0.0,0.001,-0.002,0.0
425,0.006,0.001,0.002,-0.001,0.0,0.001,-0.002,0.0
426,0.01,0.0,0.0,-0.003,-0.001,0.0,-0.003,-0.001
427,0.012,0.0,-0.001,-0.004,-0.002,-0.001,-0.004,-0.002
428,0.01,-0.001,-0.001,-0.004,-0.002,-0.001,-0.004,-0.002
429,0.008,0.0,-0.001,-0.003,-0.002,0.0,-0.003,-0.001
430,0.008,0.0,-0.001,-0.003,-0.001,0.001,-0.003,0.0
431,0.01,0.0,-0.002,-0.004,-0.002,-0.001,-0.004,-0.001
432,0.012,0.0,-0.001,-0.004,-0.002,0.0,-0.003,-0.001
433,0.011,0.002,0.0,-0.002,0.0,0.002,-0.001,0.001
434,0.009,0.002,0.001,-0.001,0.002,0.002,0.0,0.001
435,0.008,0.001,0.001,-0.002,0.0,0.001,-0.001,0.0
436,0.01,0.001,0.001,-0.002,0.0,0.001,-0.002,0.001
437,0.013,0.003,0.004,0.001,0.001,0.003,0.0,0.003
438,0.017,0.005,0.005,0.003,0.004,0.005,0.003,0.005
439,0.018,0.005,0.003,0.003,0.003,0.005,0.002,0.004
440,0.016,0.002,0.001,0.0,0.001,0.003,0.0,0.001
441,0.013,-0.001,-0.002,-0.003,-0.002,-0.001,-0.004,-0.002
442,0.01,-0.002,-0.002,-0.005,-0.004,-0.002,-0.005,-0.003
443,0.01,-0.002,-0.002,-0.005,-0.004,-0.003,-0.005,-0.003
444,0.009,-0.001,-0.001,-0.003,-0.002,-0.001,-0.003,-0.001
445,0.007,0.001,0.001,-0.001,0.0,0.002,-0.001,0.001
446,0.007,0.0,0.001,-0.001,0.0,0.002,-0.001,0.001
447,0.009,0.0,0.001,-0.002,0.0,0.002,-0.001,0.001
448,0.011,-0.001,0.0,-0.002,-0.001,0.001,-0.002,0.0
449,0.01,0.0,0.001,-0.002,0.0,0.002,-0.001,0.0
450,0.007,0.001,0.001,-0.002,0.0,0.001,-0.001,0.0
451,0.005,0.0,0.001,-0.003,-0.001,0.0,-0.002,-0.001
452,0.006,-0.001,0.0,-0.002,-0.001,0.0,-0.003,-0.001
453,0.006,0.0,-0.001,-0.002,-0.001,0.0,-0.003,0.0
454,0.005,0.0,-0.001,-0.001,-0.001,0.0,-0.003,0.0
455,0.006,-0.001,-0.001,-0.003,-0.001,-0.001,-0.003,-0.002
456,0.011,-0.002,-0.002,-0.004,-0.003,-0.002,-0.005,-0.003
457,0.016,-0.003,-0.002,-0.005,-0.003,-0.002,-0.005,-0.003
458,0.017,-0.002,-0.002,-0.005,-0.003,-0.002,-0.004,-0.002
459,0.015,0.0,0.0,-0.003,-0.002,-0.001,-0.003,-0.001
460,0.01,-0.002,-0.001,-0.004,-0.003,-0.002,-0.004,-0.003
461,0.01,-0.003,-0.002,-0.005,-0.004,-0.003,-0.006,-0.004
462,0.013,-0.004,-0.003,-0.006,-0.005,-0.004,-0.007,-0.005
463,0.017,-0.002,-0.002,-0.004,-0.003,-0.001,-0.005,-0.002
464,0.019,0.001,0.001,-0.002,-0.001,0.002,-0.002,0.001
465,0.016,0.001,0.002,-0.002,0.0,0.002,-0.002,0.001
466,0.01,0.001,0.0,-0.002,-0.001,0.0,-0.002,-0.001
467,0.007,-0.001,-0.001,-0.004,-0.002,0.0,-0.003,-0.002
468,0.005,-0.001,-0.001,-0.004,-0.002,0.0,-0.003,-0.002
469,0.007,-0.001,0.0,-0.004,-0.002,-0.001,-0.003,-0.001
470,0.01,-0.001,0.0,-0.004,-0.003,-0.002,-0.003,-0.001
471,0.011,0.0,-0.001,-0.002,-0.002,-0.001,-0.002,0.0
472,0.011,0.003,0.002,0.0,0.002,0.003,0.0,0.002
473,0.005,0.004,0.003,0.001,0.003,0.004,0.001,0.002
474,0.0,0.002,0.001,0.0,0.001,0.003,-0.001,0.001
475,-0.001,-0.001,-0.001,-0.003,-0.002,0.0,-0.004,-0.002
476,0.005,-0.002,-0.001,-0.004,-0.003,-0.001,-0.004,-0.003
477,0.007,-0.003,0.0,-0.004,-0.003,-0.001,-0.004,-0.002
478,0.003,-0.004,-0.002,-0.005,-0.005,-0.003,-0.005,-0.003
479,-0.002,-0.002,-0.002,-0.004,-0.004,-0.002,-0.004,-0.002
480,-0.003,0.0,0.0,-0.003,-0.002,0.0,-0.003,0.0
481,0.002,0.002,0.002,-0.001,0.0,0.002,-0.001,0.001
482,0.007,0.002,0.002,0.0,0.001,0.003,0.0,0.002
483,0.013,-0.001,0.0,-0.002,-0.001,0.0,-0.003,-0.001
484,0.011,-0.005,-0.004,-0.007,-0.005,-0.004,-0.007,-0.005
485,0.008,-0.008,-0.007,-0.011,-0.009,-0.008,-0.01,-0.008
486,0.005,-0.008,-0.005,-0.01,-0.008,-0.007,-0.01,-0.008
487,0.006,-0.005,-0.002,-0.006,-0.005,-0.004,-0.006,-0.005
488,0.005,-0.003,-0.001,-0.004,-0.003,-0.002,-0.004,-0.003
489,0.004,-0.005,-0.005,-0.007,-0.006,-0.005,-0.007,-0.005
490,0.008,-0.007,-0.007,-0.009,-0.008,-0.006,-0.009,-0.007
491,0.011,-0.008,-0.008,-0.01,-0.009,-0.007,-0.01,-0.009
492,0.005,-0.009,-0.009,-0.012,-0.011,-0.009,-0.012,-0.011
493,-0.005,-0.01,-0.009,-0.012,-0.011,-0.009,-0.012,-0.011
494,-0.011,-0.009,-0.008,-0.011,-0.009,-0.007,-0.011,-0.009
495,-0.007,-0.006,-0.005,-0.008,-0.006,-0.004,-0.007,-0.005
496,-0.002,-0.007,-0.005,-0.009,-0.007,-0.006,-0.008,-0.006
497,0.0,-0.008,-0.007,-0.011,-0.01,-0.008,-0.011,-0.008
498,0.0,-0.008,-0.008,-0.011,-0.011,-0.008,-0.012,-0.01
499,-0.002,-0.009,-0.008,-0.011,-0.011,-0.008,-0.012,-0.011
500,-0.005,-0.009,-0.009,-0.012,-0.011,-0.008,-0.012,-0.01
501,-0.005,-0.008,-0.009,-0.01,-0.009,-0.007,-0.01,-0.008
502,-0.003,-0.009,-0.009,-0.01,-0.008,-0.007,-0.009,-0.006
503,0.0,-0.008,-0.008,-0.009,-0.007,-0.006,-0.008,-0.006
504,0.004,-0.007,-0.006,-0.009,-0.007,-0.006,-0.009,-0.006
505,0.003,-0.008,-0.006,-0.01,-0.008,-0.006,-0.009,-0.008
506,-0.003,-0.01,-0.007,-0.012,-0.01,-0.008,-0.012,-0.01
507,-0.009,-0.012,-0.01,-0.014,-0.013,-0.011,-0.014,-0.011
508,-0.012,-0.013,-0.012,-0.015,-0.014,-0.012,-0.015,-0.012
509,-0.012,-0.01,-0.011,-0.013,-0.012,-0.01,-0.014,-0.012
510,-0.009,-0.006,-0.007,-0.009,-0.008,-0.006,-0.01,-0.009
511,-0.004,-0.005,-0.006,-0.008,-0.007,-0.006,-0.009,-0.008
512,-0.001,-0.007,-0.008,-0.009,-0.009,-0.007,-0.01,-0.008
513,-0.005,-0.011,-0.012,-0.013,-0.013,-0.011,-0.013,-0.011
514,-0.008,-0.013,-0.012,-0.016,-0.015,-0.013,-0.015,-0.014
515,-0.007,-0.014,-0.011,-0.016,-0.015,-0.014,-0.016,-0.015
